Timestamp,Total Score,Area,Distance Preferred,Parking Options,Cost Per Hour,Type of Parking,Type of Area,CCTV Security,Water Service,Other Feedback
2024/01/09 07:50:48 AM GMT+5:30,8.49 / 0,596 sq feet,Harohalli,Residential area,47 rs,Angle parking,Open area,Yes,Yes,
2024/07/23 12:25:27 PM GMT+5:30,4.59 / 0,282 sq feet,Kanakpura,Commercial area,39 rs,Parallel parking,Closed area,Yes,No,
2024/08/12 07:45:05 PM GMT+5:30,6.84 / 0,189 sq feet,Kanakpura,Residential area,37 rs,Angle parking,Closed area,Yes,No,Good feedback
2024/07/29 07:17:48 AM GMT+5:30,2.04 / 0,351 sq feet,Suburban Area,Commercial area,31 rs,Angle parking,Open area,Yes,Yes,Good one
2024/03/02 04:16:00 AM GMT+5:30,6.61 / 0,434 sq feet,Suburban Area,Commercial area,88 rs,Angle parking,Closed area,No,No,Cost should be relevant
2024/08/26 04:54:28 AM GMT+5:30,3.92 / 0,398 sq feet,Kanakpura,Commercial area,89 rs,Parallel parking,Open area,Yes,Yes,Cost should be relevant
2024/01/23 11:08:46 AM GMT+5:30,1.30 / 0,96 sq feet,Suburban Area,Commercial area,71 rs,Angle parking,Closed area,Yes,Yes,Cost should be relevant
2024/01/20 09:42:31 AM GMT+5:30,8.80 / 0,545 sq feet,Harohalli,Commercial area,22 rs,Perpendicular parking,Closed area,Yes,No,Good feedback
2024/08/24 06:35:02 AM GMT+5:30,0.27 / 0,780 sq feet,Suburban Area,Street parking,87 rs,Parallel parking,Open area,No,No,Cost should be relevant
2024/06/23 07:51:09 AM GMT+5:30,4.39 / 0,537 sq feet,Suburban Area,Commercial area,93 rs,Angle parking,Open area,No,No,Good one
2024/07/16 09:54:35 AM GMT+5:30,5.54 / 0,340 sq feet,Kanakpura,Residential area,25 rs,Perpendicular parking,Open area,No,No,
2024/09/09 07:44:29 AM GMT+5:30,3.91 / 0,413 sq feet,City Center,Street parking,80 rs,Parallel parking,Open area,Yes,Yes,Good feedback
2024/05/27 01:39:04 PM GMT+5:30,7.77 / 0,738 sq feet,Kanakpura,Residential area,58 rs,Angle parking,Open area,No,No,Cost should be relevant
2024/08/19 10:24:13 PM GMT+5:30,5.67 / 0,916 sq feet,Kanakpura,Street parking,46 rs,Parallel parking,Closed area,No,Yes,Cost should be relevant
2024/05/04 11:19:21 PM GMT+5:30,3.07 / 0,386 sq feet,Harohalli,Commercial area,19 rs,Angle parking,Open area,No,No,Cost should be relevant
2024/07/02 08:31:31 PM GMT+5:30,1.99 / 0,76 sq feet,City Center,Commercial area,29 rs,Angle parking,Open area,Yes,Yes,
2024/01/11 09:00:21 AM GMT+5:30,2.23 / 0,218 sq feet,Kanakpura,Street parking,44 rs,Perpendicular parking,Open area,No,No,Good feedback
2024/07/22 12:31:09 AM GMT+5:30,0.22 / 0,17 sq feet,City Center,Residential area,85 rs,Perpendicular parking,Open area,No,Yes,Good one
2024/09/07 04:18:08 PM GMT+5:30,0.87 / 0,140 sq feet,Kanakpura,Street parking,39 rs,Perpendicular parking,Closed area,Yes,No,Cost should be relevant
2024/04/11 07:35:08 PM GMT+5:30,7.31 / 0,393 sq feet,City Center,Street parking,22 rs,Parallel parking,Closed area,Yes,Yes,Cost should be relevant
2024/04/22 01:36:58 PM GMT+5:30,2.27 / 0,754 sq feet,Suburban Area,Street parking,69 rs,Perpendicular parking,Open area,No,No,Good one
2024/05/29 10:14:15 AM GMT+5:30,5.27 / 0,33 sq feet,Suburban Area,Street parking,88 rs,Perpendicular parking,Closed area,Yes,Yes,
2024/08/13 03:49:47 AM GMT+5:30,3.64 / 0,86 sq feet,Harohalli,Street parking,70 rs,Parallel parking,Closed area,No,No,
2024/06/11 08:04:48 AM GMT+5:30,5.84 / 0,349 sq feet,Kanakpura,Residential area,12 rs,Parallel parking,Open area,No,Yes,Good feedback
2024/04/13 09:58:04 PM GMT+5:30,3.86 / 0,980 sq feet,Suburban Area,Commercial area,82 rs,Angle parking,Open area,No,Yes,Cost should be relevant
2024/05/21 03:24:37 AM GMT+5:30,2.91 / 0,338 sq feet,Kanakpura,Street parking,47 rs,Angle parking,Open area,No,Yes,Good one
2024/02/17 07:46:40 AM GMT+5:30,4.01 / 0,102 sq feet,Harohalli,Street parking,23 rs,Perpendicular parking,Closed area,No,No,Cost should be relevant
2024/06/18 05:09:33 AM GMT+5:30,2.89 / 0,665 sq feet,City Center,Commercial area,50 rs,Parallel parking,Closed area,No,Yes,Cost should be relevant
2024/02/01 04:40:52 AM GMT+5:30,9.09 / 0,89 sq feet,Suburban Area,Commercial area,45 rs,Parallel parking,Open area,No,Yes,
2024/08/19 10:19:53 PM GMT+5:30,2.45 / 0,927 sq feet,Kanakpura,Street parking,71 rs,Perpendicular parking,Closed area,No,Yes,
2024/07/14 01:26:57 AM GMT+5:30,5.80 / 0,365 sq feet,Kanakpura,Residential area,58 rs,Perpendicular parking,Closed area,Yes,Yes,Cost should be relevant
2024/02/20 08:07:58 AM GMT+5:30,9.58 / 0,918 sq feet,Harohalli,Street parking,41 rs,Angle parking,Closed area,Yes,No,Good feedback
2024/08/15 05:35:50 AM GMT+5:30,1.74 / 0,367 sq feet,Suburban Area,Street parking,83 rs,Perpendicular parking,Closed area,No,No,Good feedback
2024/08/31 10:46:46 AM GMT+5:30,7.70 / 0,461 sq feet,Kanakpura,Residential area,69 rs,Angle parking,Closed area,No,Yes,
2024/02/04 08:00:52 PM GMT+5:30,2.64 / 0,520 sq feet,Kanakpura,Street parking,14 rs,Parallel parking,Open area,Yes,No,Good feedback
2024/03/18 02:55:27 AM GMT+5:30,6.74 / 0,131 sq feet,Suburban Area,Commercial area,98 rs,Parallel parking,Open area,Yes,Yes,Good one
2024/01/12 11:46:22 PM GMT+5:30,3.51 / 0,56 sq feet,Harohalli,Street parking,77 rs,Angle parking,Closed area,No,No,
2024/03/13 09:16:05 PM GMT+5:30,6.92 / 0,890 sq feet,City Center,Street parking,95 rs,Angle parking,Open area,No,Yes,Good feedback
2024/07/23 10:00:21 PM GMT+5:30,0.37 / 0,172 sq feet,Kanakpura,Street parking,94 rs,Parallel parking,Closed area,No,Yes,Cost should be relevant
2024/02/29 05:50:05 PM GMT+5:30,8.65 / 0,603 sq feet,Kanakpura,Commercial area,85 rs,Angle parking,Open area,No,Yes,Good feedback
2024/03/24 06:29:42 PM GMT+5:30,3.85 / 0,502 sq feet,Suburban Area,Street parking,48 rs,Parallel parking,Open area,No,Yes,
2024/05/24 03:30:55 AM GMT+5:30,9.45 / 0,861 sq feet,Kanakpura,Street parking,94 rs,Parallel parking,Closed area,No,Yes,Cost should be relevant
2024/01/14 11:06:50 AM GMT+5:30,9.37 / 0,653 sq feet,Suburban Area,Residential area,58 rs,Parallel parking,Closed area,No,No,Good one
2024/05/30 07:48:00 AM GMT+5:30,2.29 / 0,210 sq feet,Kanakpura,Street parking,93 rs,Perpendicular parking,Closed area,No,Yes,Good one
2024/04/23 03:19:52 PM GMT+5:30,6.43 / 0,498 sq feet,City Center,Commercial area,28 rs,Angle parking,Open area,Yes,No,
2024/04/22 12:41:33 PM GMT+5:30,0.42 / 0,610 sq feet,City Center,Residential area,99 rs,Perpendicular parking,Open area,No,No,
2024/09/17 04:08:53 PM GMT+5:30,7.54 / 0,807 sq feet,Kanakpura,Street parking,63 rs,Parallel parking,Closed area,No,Yes,Cost should be relevant
2024/01/28 11:17:07 AM GMT+5:30,3.23 / 0,164 sq feet,Kanakpura,Commercial area,94 rs,Parallel parking,Closed area,Yes,Yes,Cost should be relevant
2024/03/16 05:36:12 PM GMT+5:30,5.44 / 0,641 sq feet,Suburban Area,Commercial area,47 rs,Perpendicular parking,Closed area,No,Yes,Good feedback
2024/08/02 12:11:22 PM GMT+5:30,7.33 / 0,476 sq feet,Kanakpura,Street parking,62 rs,Angle parking,Open area,Yes,No,Good feedback
2024/06/30 04:31:59 PM GMT+5:30,5.92 / 0,255 sq feet,Harohalli,Street parking,23 rs,Parallel parking,Open area,No,Yes,Cost should be relevant
2024/07/30 05:20:42 AM GMT+5:30,3.69 / 0,402 sq feet,Suburban Area,Commercial area,48 rs,Parallel parking,Open area,Yes,Yes,Cost should be relevant
2024/02/15 09:28:15 AM GMT+5:30,2.49 / 0,161 sq feet,City Center,Commercial area,92 rs,Angle parking,Closed area,No,Yes,Good feedback
2024/09/12 04:41:20 PM GMT+5:30,8.77 / 0,630 sq feet,Harohalli,Residential area,38 rs,Angle parking,Closed area,Yes,No,Cost should be relevant
2024/09/25 06:43:58 PM GMT+5:30,6.19 / 0,571 sq feet,Suburban Area,Street parking,36 rs,Angle parking,Closed area,No,Yes,Good one
2024/02/13 05:11:57 PM GMT+5:30,2.03 / 0,769 sq feet,Harohalli,Residential area,38 rs,Perpendicular parking,Closed area,No,Yes,Good one
2024/05/04 11:31:40 PM GMT+5:30,4.32 / 0,189 sq feet,Kanakpura,Residential area,77 rs,Parallel parking,Closed area,Yes,No,
2024/01/09 03:36:37 AM GMT+5:30,2.57 / 0,571 sq feet,Suburban Area,Commercial area,91 rs,Angle parking,Closed area,Yes,Yes,Cost should be relevant
2024/01/13 03:43:10 AM GMT+5:30,9.80 / 0,935 sq feet,City Center,Street parking,63 rs,Angle parking,Closed area,No,Yes,Good one
2024/03/25 10:08:07 AM GMT+5:30,8.13 / 0,757 sq feet,Suburban Area,Street parking,55 rs,Angle parking,Closed area,No,No,
2024/04/06 06:33:02 PM GMT+5:30,5.99 / 0,704 sq feet,Harohalli,Residential area,17 rs,Angle parking,Open area,No,Yes,Good feedback
2024/02/27 08:45:28 PM GMT+5:30,4.83 / 0,438 sq feet,Kanakpura,Residential area,97 rs,Parallel parking,Closed area,No,No,Cost should be relevant
2024/07/15 03:20:58 AM GMT+5:30,7.64 / 0,151 sq feet,Kanakpura,Residential area,79 rs,Perpendicular parking,Open area,Yes,Yes,Cost should be relevant
2024/01/02 08:13:30 PM GMT+5:30,9.25 / 0,588 sq feet,Kanakpura,Residential area,10 rs,Parallel parking,Open area,No,No,Good feedback
2024/02/18 09:22:50 AM GMT+5:30,1.57 / 0,71 sq feet,City Center,Street parking,63 rs,Parallel parking,Open area,Yes,Yes,Good one
2024/09/16 06:17:24 AM GMT+5:30,8.29 / 0,312 sq feet,City Center,Street parking,68 rs,Parallel parking,Closed area,No,No,Good feedback
2024/04/11 11:36:43 AM GMT+5:30,8.02 / 0,918 sq feet,Harohalli,Residential area,64 rs,Angle parking,Open area,No,No,Good one
2024/01/25 08:57:02 PM GMT+5:30,0.08 / 0,984 sq feet,Kanakpura,Commercial area,90 rs,Angle parking,Open area,No,Yes,Good feedback
2024/07/11 04:07:14 PM GMT+5:30,8.43 / 0,774 sq feet,City Center,Residential area,98 rs,Angle parking,Closed area,No,Yes,Good one
2024/06/26 05:37:24 PM GMT+5:30,6.86 / 0,290 sq feet,Suburban Area,Residential area,82 rs,Parallel parking,Open area,Yes,Yes,Good one
2024/07/13 06:39:38 AM GMT+5:30,1.90 / 0,141 sq feet,Harohalli,Residential area,61 rs,Angle parking,Open area,Yes,Yes,Cost should be relevant
2024/09/12 05:49:49 PM GMT+5:30,1.87 / 0,664 sq feet,City Center,Street parking,81 rs,Angle parking,Closed area,No,No,
2024/01/07 07:27:20 AM GMT+5:30,2.43 / 0,112 sq feet,Kanakpura,Residential area,54 rs,Angle parking,Closed area,Yes,Yes,Good feedback
2024/09/18 01:51:35 AM GMT+5:30,6.64 / 0,907 sq feet,Suburban Area,Street parking,26 rs,Perpendicular parking,Closed area,Yes,No,Good feedback
2024/04/05 11:05:59 AM GMT+5:30,8.74 / 0,896 sq feet,Harohalli,Residential area,55 rs,Parallel parking,Open area,Yes,Yes,
2024/07/04 04:02:33 PM GMT+5:30,3.66 / 0,696 sq feet,Harohalli,Commercial area,12 rs,Angle parking,Closed area,Yes,No,
2024/05/31 11:23:02 PM GMT+5:30,1.49 / 0,354 sq feet,Suburban Area,Residential area,15 rs,Parallel parking,Closed area,Yes,No,Good feedback
2024/02/02 12:17:24 AM GMT+5:30,3.57 / 0,598 sq feet,Harohalli,Commercial area,87 rs,Parallel parking,Closed area,No,No,Good feedback
2024/01/29 07:32:12 PM GMT+5:30,2.50 / 0,83 sq feet,Kanakpura,Residential area,49 rs,Angle parking,Open area,Yes,Yes,
2024/07/30 06:53:05 PM GMT+5:30,8.41 / 0,458 sq feet,Harohalli,Street parking,28 rs,Angle parking,Open area,Yes,Yes,Cost should be relevant
2024/05/29 07:09:45 AM GMT+5:30,4.60 / 0,442 sq feet,City Center,Street parking,59 rs,Angle parking,Closed area,Yes,Yes,Good feedback
2024/04/16 05:34:24 PM GMT+5:30,1.01 / 0,869 sq feet,Suburban Area,Commercial area,36 rs,Angle parking,Open area,Yes,Yes,Cost should be relevant
2024/07/27 10:42:43 PM GMT+5:30,9.43 / 0,546 sq feet,Suburban Area,Commercial area,13 rs,Perpendicular parking,Open area,No,Yes,Good feedback
2024/04/01 12:27:46 PM GMT+5:30,8.01 / 0,94 sq feet,Harohalli,Street parking,38 rs,Perpendicular parking,Closed area,No,No,Good one
2024/08/24 02:28:52 PM GMT+5:30,8.50 / 0,196 sq feet,Harohalli,Commercial area,17 rs,Parallel parking,Open area,No,No,Cost should be relevant
2024/06/28 04:02:24 AM GMT+5:30,3.91 / 0,279 sq feet,Suburban Area,Street parking,90 rs,Angle parking,Closed area,No,No,
2024/04/09 04:18:12 PM GMT+5:30,7.12 / 0,439 sq feet,Kanakpura,Residential area,59 rs,Angle parking,Closed area,Yes,No,Good one
2024/08/26 10:38:26 AM GMT+5:30,0.09 / 0,729 sq feet,Kanakpura,Residential area,74 rs,Angle parking,Closed area,Yes,No,
2024/02/18 09:16:23 PM GMT+5:30,0.36 / 0,176 sq feet,Suburban Area,Residential area,48 rs,Perpendicular parking,Closed area,Yes,Yes,Cost should be relevant
2024/02/07 09:16:41 AM GMT+5:30,7.09 / 0,267 sq feet,City Center,Residential area,61 rs,Perpendicular parking,Closed area,No,Yes,Cost should be relevant
2024/05/08 08:25:25 PM GMT+5:30,4.60 / 0,486 sq feet,Kanakpura,Residential area,49 rs,Perpendicular parking,Open area,Yes,Yes,Good one
2024/06/12 06:39:57 PM GMT+5:30,7.66 / 0,377 sq feet,Suburban Area,Street parking,24 rs,Angle parking,Open area,No,No,
2024/06/28 04:21:15 AM GMT+5:30,1.21 / 0,729 sq feet,Kanakpura,Commercial area,58 rs,Perpendicular parking,Closed area,Yes,Yes,Good one
2024/07/06 02:25:22 PM GMT+5:30,8.84 / 0,540 sq feet,Suburban Area,Residential area,39 rs,Parallel parking,Closed area,Yes,Yes,Cost should be relevant
2024/09/16 07:35:30 PM GMT+5:30,9.51 / 0,441 sq feet,Harohalli,Residential area,89 rs,Parallel parking,Closed area,No,Yes,Good feedback
2024/01/04 02:10:46 PM GMT+5:30,4.32 / 0,381 sq feet,Harohalli,Street parking,18 rs,Angle parking,Closed area,No,Yes,
2024/07/14 01:15:51 PM GMT+5:30,5.99 / 0,289 sq feet,Kanakpura,Street parking,36 rs,Parallel parking,Closed area,No,Yes,
2024/07/04 12:12:03 AM GMT+5:30,8.46 / 0,519 sq feet,Harohalli,Street parking,100 rs,Angle parking,Open area,No,No,
2024/09/21 10:38:45 PM GMT+5:30,0.86 / 0,120 sq feet,City Center,Street parking,22 rs,Angle parking,Open area,No,Yes,Good feedback
2024/07/26 06:17:59 PM GMT+5:30,4.28 / 0,244 sq feet,Suburban Area,Street parking,81 rs,Perpendicular parking,Closed area,Yes,Yes,
2024/07/05 01:13:55 AM GMT+5:30,5.38 / 0,754 sq feet,Kanakpura,Residential area,67 rs,Angle parking,Open area,No,Yes,Good feedback
2024/07/17 11:39:59 AM GMT+5:30,4.29 / 0,890 sq feet,City Center,Residential area,97 rs,Angle parking,Open area,No,Yes,
2024/07/06 05:11:39 PM GMT+5:30,1.06 / 0,102 sq feet,Kanakpura,Commercial area,12 rs,Angle parking,Closed area,Yes,No,Good one
2024/06/24 10:53:05 PM GMT+5:30,7.03 / 0,154 sq feet,City Center,Street parking,54 rs,Angle parking,Open area,Yes,No,Good one
2024/05/17 03:38:17 AM GMT+5:30,5.41 / 0,356 sq feet,Harohalli,Commercial area,36 rs,Angle parking,Open area,No,No,Good one
2024/04/08 03:41:59 PM GMT+5:30,6.35 / 0,209 sq feet,Harohalli,Street parking,58 rs,Parallel parking,Open area,Yes,No,Good feedback
2024/08/29 07:25:55 PM GMT+5:30,8.31 / 0,912 sq feet,City Center,Residential area,15 rs,Perpendicular parking,Closed area,No,Yes,Cost should be relevant
2024/06/03 11:49:20 AM GMT+5:30,8.21 / 0,721 sq feet,Suburban Area,Street parking,52 rs,Angle parking,Open area,Yes,No,
2024/02/22 06:41:53 AM GMT+5:30,3.60 / 0,759 sq feet,Kanakpura,Commercial area,71 rs,Parallel parking,Open area,Yes,Yes,Cost should be relevant
2024/01/08 07:01:37 AM GMT+5:30,4.55 / 0,743 sq feet,Harohalli,Commercial area,92 rs,Perpendicular parking,Open area,No,Yes,
2024/01/24 08:35:36 PM GMT+5:30,9.62 / 0,53 sq feet,City Center,Residential area,69 rs,Perpendicular parking,Closed area,Yes,Yes,Good feedback
2024/05/06 06:40:30 AM GMT+5:30,8.43 / 0,172 sq feet,City Center,Commercial area,42 rs,Perpendicular parking,Open area,No,No,
2024/02/27 07:16:46 PM GMT+5:30,7.30 / 0,801 sq feet,Suburban Area,Residential area,80 rs,Parallel parking,Open area,No,No,Cost should be relevant
2024/09/07 02:27:10 PM GMT+5:30,2.28 / 0,495 sq feet,Suburban Area,Street parking,12 rs,Angle parking,Open area,Yes,No,Cost should be relevant
2024/03/15 05:05:58 AM GMT+5:30,1.77 / 0,388 sq feet,Kanakpura,Residential area,54 rs,Angle parking,Closed area,No,No,Good one
2024/03/07 05:25:26 AM GMT+5:30,0.98 / 0,639 sq feet,City Center,Residential area,13 rs,Angle parking,Closed area,No,No,
2024/05/17 09:31:24 AM GMT+5:30,9.32 / 0,144 sq feet,Harohalli,Residential area,92 rs,Perpendicular parking,Closed area,No,Yes,Good feedback
2024/04/08 12:12:59 PM GMT+5:30,0.08 / 0,530 sq feet,Harohalli,Residential area,13 rs,Parallel parking,Open area,No,No,Cost should be relevant
2024/07/17 10:21:11 AM GMT+5:30,5.60 / 0,115 sq feet,Harohalli,Street parking,23 rs,Parallel parking,Closed area,No,No,Cost should be relevant
2024/04/14 06:56:24 PM GMT+5:30,2.56 / 0,18 sq feet,City Center,Commercial area,17 rs,Parallel parking,Closed area,Yes,Yes,
2024/08/23 08:46:48 AM GMT+5:30,0.91 / 0,119 sq feet,Suburban Area,Commercial area,43 rs,Perpendicular parking,Open area,No,Yes,Good feedback
2024/07/03 08:45:27 PM GMT+5:30,0.27 / 0,527 sq feet,Harohalli,Residential area,52 rs,Angle parking,Open area,No,No,Good one
2024/06/02 08:32:23 PM GMT+5:30,0.85 / 0,261 sq feet,City Center,Commercial area,70 rs,Perpendicular parking,Open area,Yes,Yes,
2024/01/11 08:13:30 AM GMT+5:30,9.34 / 0,166 sq feet,City Center,Street parking,97 rs,Perpendicular parking,Open area,No,Yes,
2024/01/15 03:52:17 AM GMT+5:30,3.71 / 0,848 sq feet,Kanakpura,Street parking,92 rs,Angle parking,Closed area,Yes,Yes,Cost should be relevant
2024/04/05 11:19:53 PM GMT+5:30,4.54 / 0,293 sq feet,City Center,Commercial area,28 rs,Perpendicular parking,Closed area,No,No,
2024/08/14 04:57:08 AM GMT+5:30,4.98 / 0,957 sq feet,Harohalli,Commercial area,38 rs,Angle parking,Closed area,Yes,Yes,Good one
2024/09/17 11:22:38 PM GMT+5:30,0.66 / 0,256 sq feet,Harohalli,Residential area,73 rs,Parallel parking,Closed area,Yes,Yes,
2024/06/18 02:53:15 PM GMT+5:30,4.76 / 0,768 sq feet,Harohalli,Commercial area,69 rs,Perpendicular parking,Open area,Yes,Yes,Good one
2024/06/25 11:50:30 PM GMT+5:30,9.89 / 0,141 sq feet,Kanakpura,Residential area,84 rs,Perpendicular parking,Closed area,Yes,No,
2024/07/24 04:43:19 PM GMT+5:30,7.12 / 0,918 sq feet,Kanakpura,Commercial area,98 rs,Parallel parking,Closed area,Yes,Yes,Cost should be relevant
2024/02/21 03:20:35 AM GMT+5:30,9.77 / 0,421 sq feet,Kanakpura,Residential area,35 rs,Perpendicular parking,Open area,No,No,
2024/05/10 02:38:39 AM GMT+5:30,3.74 / 0,388 sq feet,Harohalli,Residential area,69 rs,Angle parking,Open area,No,Yes,Good feedback
2024/02/10 09:29:15 PM GMT+5:30,4.58 / 0,854 sq feet,Kanakpura,Commercial area,70 rs,Parallel parking,Open area,Yes,No,
2024/04/26 09:33:32 PM GMT+5:30,8.50 / 0,653 sq feet,Harohalli,Commercial area,36 rs,Parallel parking,Closed area,Yes,Yes,Cost should be relevant
2024/07/25 01:35:29 AM GMT+5:30,6.62 / 0,491 sq feet,City Center,Street parking,95 rs,Angle parking,Open area,No,No,Cost should be relevant
2024/06/02 02:49:27 PM GMT+5:30,8.41 / 0,297 sq feet,Suburban Area,Commercial area,22 rs,Angle parking,Closed area,No,No,Good feedback
2024/05/07 08:42:12 AM GMT+5:30,7.39 / 0,196 sq feet,Kanakpura,Commercial area,48 rs,Perpendicular parking,Closed area,No,No,Good feedback
2024/05/25 05:54:51 AM GMT+5:30,5.50 / 0,160 sq feet,Kanakpura,Commercial area,78 rs,Parallel parking,Open area,No,Yes,
2024/09/24 05:44:04 AM GMT+5:30,8.40 / 0,12 sq feet,Suburban Area,Residential area,71 rs,Angle parking,Closed area,Yes,Yes,Cost should be relevant
2024/08/12 07:06:02 AM GMT+5:30,9.18 / 0,204 sq feet,Kanakpura,Commercial area,50 rs,Parallel parking,Open area,Yes,Yes,
2024/05/21 06:19:00 AM GMT+5:30,5.00 / 0,458 sq feet,Kanakpura,Street parking,17 rs,Angle parking,Open area,Yes,Yes,Good one
2024/09/19 05:32:12 PM GMT+5:30,6.00 / 0,519 sq feet,Kanakpura,Residential area,36 rs,Perpendicular parking,Open area,Yes,No,Good one
2024/06/01 04:32:17 AM GMT+5:30,5.72 / 0,604 sq feet,Harohalli,Commercial area,76 rs,Angle parking,Open area,No,No,Good one
2024/06/23 07:56:02 PM GMT+5:30,4.78 / 0,185 sq feet,Harohalli,Commercial area,18 rs,Angle parking,Open area,No,Yes,Good feedback
2024/06/30 01:47:59 AM GMT+5:30,1.12 / 0,926 sq feet,Suburban Area,Street parking,88 rs,Parallel parking,Open area,Yes,Yes,
2024/01/10 11:01:31 PM GMT+5:30,0.50 / 0,865 sq feet,City Center,Street parking,16 rs,Angle parking,Closed area,No,No,Good feedback
2024/07/05 04:59:52 PM GMT+5:30,2.17 / 0,464 sq feet,Kanakpura,Residential area,13 rs,Parallel parking,Open area,Yes,Yes,Good feedback
2024/03/14 12:00:52 PM GMT+5:30,8.20 / 0,339 sq feet,Harohalli,Street parking,51 rs,Angle parking,Closed area,Yes,No,Cost should be relevant
2024/08/27 09:42:45 PM GMT+5:30,3.19 / 0,175 sq feet,City Center,Residential area,67 rs,Perpendicular parking,Open area,No,No,Good feedback
2024/02/21 03:36:47 AM GMT+5:30,4.07 / 0,44 sq feet,Suburban Area,Street parking,95 rs,Parallel parking,Closed area,No,Yes,
2024/02/22 08:48:21 PM GMT+5:30,0.46 / 0,708 sq feet,Harohalli,Street parking,90 rs,Angle parking,Open area,No,Yes,Cost should be relevant
2024/07/16 09:59:35 PM GMT+5:30,8.79 / 0,787 sq feet,City Center,Street parking,53 rs,Parallel parking,Open area,No,Yes,Cost should be relevant
2024/07/23 09:14:14 AM GMT+5:30,2.92 / 0,886 sq feet,Suburban Area,Street parking,34 rs,Perpendicular parking,Open area,No,No,Good one
2024/02/03 10:41:07 AM GMT+5:30,7.69 / 0,660 sq feet,Suburban Area,Residential area,60 rs,Perpendicular parking,Closed area,Yes,No,
2024/01/23 12:31:41 PM GMT+5:30,0.88 / 0,191 sq feet,Kanakpura,Commercial area,48 rs,Parallel parking,Open area,Yes,No,Cost should be relevant
2024/01/26 04:42:43 PM GMT+5:30,9.79 / 0,80 sq feet,Kanakpura,Street parking,81 rs,Perpendicular parking,Closed area,No,Yes,Cost should be relevant
2024/08/21 06:59:02 AM GMT+5:30,7.26 / 0,600 sq feet,City Center,Commercial area,45 rs,Perpendicular parking,Closed area,Yes,Yes,Cost should be relevant
2024/02/04 11:58:55 AM GMT+5:30,3.35 / 0,677 sq feet,Kanakpura,Street parking,85 rs,Parallel parking,Closed area,Yes,Yes,
2024/06/01 06:27:33 AM GMT+5:30,1.30 / 0,640 sq feet,Kanakpura,Commercial area,63 rs,Parallel parking,Open area,Yes,Yes,Good feedback
2024/01/20 10:28:14 PM GMT+5:30,6.45 / 0,827 sq feet,City Center,Residential area,13 rs,Perpendicular parking,Open area,No,Yes,Cost should be relevant
2024/01/04 09:09:05 AM GMT+5:30,1.14 / 0,937 sq feet,City Center,Street parking,24 rs,Angle parking,Open area,Yes,No,Cost should be relevant
2024/07/31 05:36:46 PM GMT+5:30,5.15 / 0,866 sq feet,Suburban Area,Residential area,48 rs,Parallel parking,Closed area,No,Yes,Good one
2024/09/15 04:57:06 PM GMT+5:30,3.28 / 0,643 sq feet,City Center,Residential area,78 rs,Parallel parking,Open area,No,Yes,Good one
2024/03/12 09:30:20 PM GMT+5:30,9.06 / 0,563 sq feet,Kanakpura,Commercial area,41 rs,Parallel parking,Open area,No,Yes,Cost should be relevant
2024/06/10 04:00:14 AM GMT+5:30,7.67 / 0,764 sq feet,Kanakpura,Street parking,90 rs,Angle parking,Closed area,Yes,Yes,Good one
2024/03/14 12:53:20 PM GMT+5:30,7.88 / 0,720 sq feet,City Center,Residential area,97 rs,Perpendicular parking,Closed area,Yes,Yes,Cost should be relevant
2024/06/21 05:24:02 AM GMT+5:30,3.11 / 0,114 sq feet,Suburban Area,Commercial area,23 rs,Perpendicular parking,Closed area,No,No,
2024/05/16 10:42:45 PM GMT+5:30,0.82 / 0,572 sq feet,City Center,Commercial area,77 rs,Parallel parking,Open area,Yes,No,Good feedback
2024/03/07 09:57:41 AM GMT+5:30,5.99 / 0,70 sq feet,City Center,Commercial area,24 rs,Angle parking,Open area,Yes,Yes,
2024/02/23 12:05:19 AM GMT+5:30,5.03 / 0,300 sq feet,City Center,Residential area,11 rs,Angle parking,Closed area,Yes,Yes,Good feedback
2024/03/30 10:24:26 AM GMT+5:30,3.33 / 0,546 sq feet,Suburban Area,Residential area,37 rs,Angle parking,Closed area,Yes,No,Good feedback
2024/08/16 07:18:44 PM GMT+5:30,8.56 / 0,605 sq feet,Kanakpura,Commercial area,69 rs,Parallel parking,Open area,Yes,Yes,
2024/01/01 12:08:30 PM GMT+5:30,9.52 / 0,577 sq feet,Harohalli,Street parking,79 rs,Perpendicular parking,Open area,No,No,Good feedback
2024/04/19 09:38:48 PM GMT+5:30,6.15 / 0,800 sq feet,Kanakpura,Commercial area,63 rs,Perpendicular parking,Open area,Yes,Yes,Good one
2024/07/21 12:44:49 AM GMT+5:30,3.78 / 0,178 sq feet,Kanakpura,Commercial area,89 rs,Perpendicular parking,Open area,No,No,Good one
2024/02/08 12:20:56 PM GMT+5:30,8.75 / 0,710 sq feet,Harohalli,Commercial area,47 rs,Angle parking,Closed area,Yes,No,Good one
2024/02/18 08:01:31 AM GMT+5:30,1.34 / 0,246 sq feet,Suburban Area,Residential area,45 rs,Angle parking,Open area,Yes,Yes,Good one
2024/03/28 07:34:20 AM GMT+5:30,6.56 / 0,829 sq feet,City Center,Commercial area,82 rs,Angle parking,Open area,Yes,Yes,
2024/07/06 11:43:24 AM GMT+5:30,8.57 / 0,758 sq feet,City Center,Street parking,56 rs,Angle parking,Open area,No,No,Cost should be relevant
